horizon_step,mae,rmse,mape,n_samples,symbol,lookback
1,2.1925384615384593,3.0159791426353033,0.9282487905717004,143,AAPL,1
1,3.013337662337662,4.165977495559293,1.2661723175734658,154,AAPL,7
1,3.1727986577181206,4.349097364500595,1.3269182551051046,149,AAPL,14
1,4.180537931034482,5.74142761893314,1.761649151235673,145,AAPL,21
1,4.758064516129034,6.4863087081994895,1.981563818382866,155,AAPL,28
7,6.991244755244756,8.840066483153473,2.9095953974562785,143,AAPL,1
7,7.109744966442952,9.308621947622452,2.947001007007231,149,AAPL,14
7,7.396862068965517,9.255837898693805,3.035623904199537,145,AAPL,21
7,7.442367741935483,9.131685191258953,3.059885217522466,155,AAPL,28
7,7.579012987012985,9.458292605591508,3.141109867711271,154,AAPL,7
14,9.102797202797204,11.272840106022265,3.717781284710279,143,AAPL,1
14,10.903931034482754,13.337676963115193,4.433812970515652,145,AAPL,21
14,10.843303225806451,13.16823034623912,4.4402595138904575,155,AAPL,28
14,11.28316233766234,14.793960530848786,4.616111285398293,154,AAPL,7
14,11.469872483221476,14.254155343043804,4.695199670067024,149,AAPL,14
21,11.353727272727273,14.14541890235411,4.574103216695553,143,AAPL,1
21,12.965420689655172,17.08530605863534,5.2748591860669904,145,AAPL,21
21,13.414825806451612,16.09689238211184,5.4575551461064915,155,AAPL,28
21,14.086629870129872,19.295661113620554,5.701569679331802,154,AAPL,7
21,14.128322147651007,18.007746493434762,5.752034097163236,149,AAPL,14
28,12.591391608391605,16.185203959906598,4.976333233834477,143,AAPL,1
28,15.364696551724133,20.519872700250428,6.15432094964505,145,AAPL,21
28,15.524948387096776,18.97904716004536,6.212350918106983,155,AAPL,28
28,15.998295302013423,20.79106581034752,6.402177304996775,149,AAPL,14
28,16.419220779220783,24.022319791307503,6.556614225668462,154,AAPL,7
