horizon_step,mae,rmse,mape,n_samples,symbol,lookback
1,2.178463576158939,3.1311945459789308,1.0320528204441204,151,ABBV,1
1,2.4351710526315786,3.736901191248958,1.1518581713084488,152,ABBV,7
1,2.6345170068027217,3.9763306180036713,1.2516100192669328,147,ABBV,14
1,2.9477103448275876,4.28412237018956,1.3985602465833167,145,ABBV,21
1,3.1644516129032274,4.7669443110357514,1.4936345086433145,155,ABBV,28
7,5.5156357615894045,7.081737599194216,2.593487102853951,151,ABBV,1
7,6.245353741496597,7.715533882709484,2.93733958272402,147,ABBV,14
7,6.276375000000001,8.439783559600018,2.95000020762177,152,ABBV,7
7,6.327834482758621,7.983318545999311,2.989187329022293,145,ABBV,21
7,6.935116129032257,8.696809220219976,3.2452030546430866,155,ABBV,28
14,7.7291655629139076,9.427559582528195,3.6346116281847634,151,ABBV,1
14,8.033687074829931,9.648931650001183,3.757104098790303,147,ABBV,14
14,8.42688387096774,11.03594169652197,3.9204847683294797,155,ABBV,28
14,8.444448275862067,11.789479120136644,3.9676811358897752,145,ABBV,21
14,9.287480263157892,13.656716576517058,4.340933788205695,152,ABBV,7
21,9.368544217687077,11.930762929571296,4.35802296309191,147,ABBV,14
21,9.403132450331126,11.699527149272157,4.36887665614143,151,ABBV,1
21,10.718793103448276,16.77410551333256,4.960176080019569,145,ABBV,21
21,10.904838709677417,14.738467246871256,5.0682439307542415,155,ABBV,28
21,11.880736842105263,19.42261006059148,5.503595667136066,152,ABBV,7
28,11.050721854304633,13.14481433899401,5.09146512055117,151,ABBV,1
28,11.236612244897959,13.761518544588792,5.224333226183444,147,ABBV,14
28,12.650554838709676,17.585870935718308,5.847027508016795,155,ABBV,28
28,13.156496551724137,22.074385756752804,6.094102835390341,145,ABBV,21
28,14.502401315789472,24.81109810529936,6.691329388561025,152,ABBV,7
