step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
28,24686.92541434127,146.86925414341266,148.17235685054175,2.17782574590354,-12.102523060382897,287.88278697153225,66.66666666666666,6,6,AMD,14
21,24566.38349680438,145.66383496804383,123.77047940142671,2.0869854914291004,-17.28335237817209,285.0453125529881,62.5,6,8,AMD,28
28,23797.068723313194,137.97068723313194,139.23698440978808,2.053420037845604,-15.270846238196146,267.1006869562019,66.66666666666666,6,6,AMD,1
7,16455.69257195773,64.5569257195773,87.50683596487548,1.9384386270797087,-14.398188783293032,125.92896182894222,40.909090909090914,11,22,AMD,21
21,21998.0976107942,119.98097610794201,107.43470371923695,1.876503753736946,-9.580582776765212,226.27040885936748,37.5,5,8,AMD,14
21,21043.641618143723,110.43641618143725,107.43470371923695,1.8387518581749676,-6.197837180192344,205.26804505460655,50.0,5,8,AMD,21
21,22212.780790635457,122.12780790635458,123.77047940142671,1.8262454832375405,-17.28335237817208,231.05823559723504,62.5,8,8,AMD,7
14,20581.253020520086,105.81253020520087,130.86334534597145,1.7731062662908506,-16.204236232473633,195.26210912235436,58.333333333333336,10,12,AMD,7
14,19293.279970694774,92.93279970694775,94.96325775927994,1.7534350578560873,-16.63654002737521,193.10829477473789,63.63636363636363,11,11,AMD,1
21,20631.432127762502,106.31432127762501,107.8561823088537,1.6534620632387067,-19.84523961572374,196.342583867845,50.0,8,8,AMD,1
28,18125.980042729614,81.25980042729614,119.40026970563822,1.420766342193403,-19.118448533535815,144.0350719343796,50.0,5,6,AMD,7
7,14562.801610163713,45.62801610163714,72.51558660314379,1.3239374235663612,-22.124816439561744,84.9814044288304,54.54545454545454,20,22,AMD,1
7,13424.780313096871,34.24780313096871,88.50980005333528,1.1770797752179525,-14.640026092674496,58.56325569360998,34.78260869565217,12,23,AMD,28
28,15788.250760329707,57.88250760329707,148.17235685054175,1.1687718245870586,-12.102523060382886,98.38143313122328,33.33333333333333,4,6,AMD,21
14,14307.21849928574,43.07218499285741,91.52063576774165,1.1030623551991225,-14.345151720124017,79.69868070311273,45.45454545454545,8,11,AMD,14
7,13109.760605193545,31.097606051935458,88.50980005333528,1.048504296557824,-21.614221830405246,52.77819169475444,39.130434782608695,17,23,AMD,7
14,14112.335624016345,41.12335624016345,130.86334534597145,1.0067061668449162,-16.204236232473633,67.64798760496566,41.66666666666667,7,12,AMD,28
28,13955.993758260114,39.559937582601144,119.40026970563822,0.9133176830126686,-19.118448533535815,64.86981469352713,33.33333333333333,4,6,AMD,28
7,11612.33640601123,16.1233640601123,81.48033199438585,0.7074054095148266,-21.614221830405256,27.71211201150985,40.909090909090914,16,22,AMD,14
14,11717.150821637677,17.171508216376765,97.5773194351249,0.631878941141476,-15.517899094363663,29.603834571618926,27.27272727272727,6,11,AMD,21
1,9332.941970968794,-6.670580290312067,8.311425103713077e-07,-14.340399526810499,-6.577156942019469,-10.747823862975526,0.0,69,153,AMD,14
1,9286.370274022303,-7.136297259776969,3.513838442437134e-06,-15.124050954826787,-7.043340097160655,-11.34079897402872,0.0,74,155,AMD,28
1,9240.031832961131,-7.599681670388692,3.513838442437134e-06,-16.13249469510899,-7.507188358542272,-12.058938831904321,0.0,79,155,AMD,7
1,9230.791648578286,-7.69208351421714,2.975860380338702e-06,-16.563797487886944,-7.599682697209598,-12.351093275862768,0.0,80,153,AMD,21
1,9175.546187089009,-8.244538129109912,1.943807048654378e-06,-17.92619733713066,-8.15269032271857,-13.213418200134718,0.0,86,153,AMD,1
