step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
14,15251.727456480425,52.51727456480424,49.72146585084553,3.1310270100017816,-5.270748315403717,99.51548319476817,72.72727272727273,10,11,AMGN,14
28,14310.82550260142,43.108255026014184,41.08137022922871,2.9327049867570207,0.0,71.1973466460617,83.33333333333334,5,6,AMGN,14
7,13615.488136253643,36.15488136253644,37.07087144259722,2.7343157072235824,-4.643448748136214,69.73493076465253,47.61904761904761,15,21,AMGN,14
28,13395.237944186723,33.952379441867244,34.7209478413895,2.3640515878660127,-3.4194424549452207,55.033534671985485,66.66666666666666,6,6,AMGN,7
14,13390.849207815905,33.90849207815905,35.352285722368705,1.9574108530131928,-7.7845032251580015,61.25166054404265,72.72727272727273,11,11,AMGN,7
7,12630.359842023921,26.303598420239215,32.542799503028675,1.7491624538673354,-7.381342968688309,46.53892549449794,45.45454545454545,17,22,AMGN,21
21,11963.997316677742,19.639973166777413,20.45960889655154,1.7082056852957759,-2.124722879198604,35.98851788138538,57.14285714285714,7,7,AMGN,1
21,10937.32894373436,9.37328943734359,25.62437216618769,1.6758241363733686,-1.458046108506228,16.60174258587206,42.857142857142854,5,7,AMGN,14
14,11383.986258840498,13.839862588404973,28.503488340314664,1.5548519678049515,-4.969000390010503,23.628342974275938,36.36363636363637,6,11,AMGN,21
21,10805.868680473985,8.058686804739846,12.760093609356037,1.4340765887348073,-2.5306627841845564,14.209523046311666,71.42857142857143,6,7,AMGN,7
21,11502.092664286505,15.020926642865051,26.034288788738724,1.36106479561917,-5.930341261056005,23.357424407643457,37.5,4,8,AMGN,28
28,11586.320618708916,15.863206187089162,16.427864945660133,1.328287544872359,-3.888797504187147,30.347280880451688,60.0,5,5,AMGN,1
28,11651.349923755259,16.513499237552587,27.34285829365608,1.21440819578731,-0.116941629626377,25.766324338920697,16.666666666666664,2,6,AMGN,21
21,11964.330941692595,19.64330941692596,23.76589231688766,1.1515432048521028,-9.62854332403028,30.86774711792244,37.5,5,8,AMGN,21
14,10606.309766125632,6.0630976612563225,8.608676147403592,1.0479566716780366,-5.147939908957911,11.177205195603811,60.0,8,10,AMGN,1
7,10908.202738033335,9.082027380333347,21.381042389139605,0.8129894938873542,-8.762445332887015,16.069943560012987,42.857142857142854,16,21,AMGN,7
14,10425.684601913183,4.2568460191318325,16.262217175981043,0.5337753967943426,-7.917954773784497,6.452747224986344,33.33333333333333,7,12,AMGN,28
7,10516.946090396279,5.169460903962797,13.22124410882739,0.5178920914083684,-8.238330375012492,8.208669553301773,26.08695652173913,14,23,AMGN,28
7,10330.465051958416,3.3046505195841513,10.742288822262536,0.3720085058718457,-7.908174516602795,6.026828548588026,40.0,18,20,AMGN,1
28,10134.112376549232,1.3411237654923136,19.2856889417631,0.19727508181210984,-6.674978313401003,2.018415446117272,16.666666666666664,2,6,AMGN,28
1,9295.689626201513,-7.043103737984879,0.0001886318692356781,-16.15430975539374,-7.043103737984868,-12.076561610431513,0.0,73,143,AMGN,14
1,9212.351965107819,-7.8764803489218105,0.00037207475245271127,-16.885961753775856,-7.876480348921822,-12.562603432516973,0.0,82,154,AMGN,21
1,9203.172510265103,-7.96827489734897,0.0004983187135154665,-16.9889711825951,-7.87613509220757,-12.628567361480625,0.0,83,155,AMGN,28
1,9203.216072736403,-7.967839272635979,0.0008301774406138662,-18.303753198065785,-7.967839272635979,-13.437549207105072,0.0,83,145,AMGN,7
1,9203.157718131239,-7.968422818687615,0.00020158234725897728,-19.792388773109565,-7.876283161641274,-14.261253118305884,0.0,83,136,AMGN,1
