horizon_step,mae,rmse,mape,n_samples,symbol,lookback
1,3.3207352941176485,4.501950283259598,1.1107848776227658,136,AMGN,1
1,5.028048275862074,6.704752368591843,1.693012432852275,145,AMGN,7
1,5.105692307692309,7.155674215789697,1.7293214789793392,143,AMGN,14
1,5.563155844155845,7.459081867876789,1.8824488787249252,154,AMGN,21
7,9.946926470588233,12.702765204983564,3.3373392241252633,136,AMGN,1
7,10.495356643356644,13.75550930593754,3.4840196459437265,143,AMGN,14
7,10.469883116883116,13.314180397693944,3.510916774784972,154,AMGN,21
7,11.44765517241379,14.465267309352926,3.8248324542348127,145,AMGN,7
14,13.356933823529413,16.385957831819795,4.433120411167167,136,AMGN,1
14,13.613965034965036,18.14964389120686,4.435425249112593,143,AMGN,14
14,13.731149350649352,17.181605512684385,4.518702636640301,154,AMGN,21
14,17.13595172413793,21.376002526358768,5.688676664905425,145,AMGN,7
21,14.659214285714286,18.746648885815617,4.7825955014028,154,AMGN,21
21,16.152544117647057,19.37586056874408,5.318328018106383,136,AMGN,1
21,17.00813986013986,21.786050731179763,5.490146167367346,143,AMGN,14
21,21.095993103448276,28.223260431045535,6.988796650879775,145,AMGN,7
28,17.911161764705884,21.916862232818662,5.779345919268577,136,AMGN,1
28,18.725597402597398,24.09012682520674,5.956031724374007,154,AMGN,21
28,18.847111888111893,24.73795861562816,5.972384578279956,143,AMGN,14
28,25.61983448275862,33.690532502930765,8.384225683483022,145,AMGN,7
