step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
28,12176.258320844549,21.762583208445484,14.669052750368227,2.2270639738464793,-0.8327633155281067,34.360242715817726,50.0,4,6,AMZN,14
21,11664.138539367921,16.641385393679208,12.470518538539356,1.957603972592617,-3.96889629024606,25.97344434442459,62.5,7,8,AMZN,1
28,11391.946130774144,13.919461307741443,16.284422594604987,1.6943783425483858,0.0,21.5897271697036,33.33333333333333,2,6,AMZN,28
21,11078.5630990304,10.785630990304007,-2.0739883352283495,1.6240960398821758,-2.6303402871420634,16.60714262640861,50.0,6,8,AMZN,21
21,11203.733509768748,12.037335097687475,17.606004545112164,1.5631588604767506,-3.629955998224077,18.58893130481509,50.0,7,8,AMZN,14
14,12439.867755037127,24.39867755037126,14.697116221828676,1.5502166295475546,-3.2044534444157113,38.747013967883916,25.0,6,12,AMZN,28
7,11839.791427738011,18.39791427738011,15.205103320588954,1.3124562616059892,-10.702169994544564,31.830997857536314,45.45454545454545,13,22,AMZN,14
14,11594.714981105873,15.947149811058736,22.843197839731676,1.1605820774516096,-9.132451138911968,27.39513808418792,45.45454545454545,9,11,AMZN,1
21,10918.055769359255,9.18055769359254,9.426964830351547,1.1387861596149733,-5.203629443875135,14.08221966250871,50.0,7,8,AMZN,7
28,11572.276139734806,15.722761397348052,16.403723418087978,1.0549966900240006,-8.81175299042175,24.48819857688267,66.66666666666666,6,6,AMZN,7
21,10188.762257133047,1.8876225713304606,12.859704371298264,0.9210441558044118,-1.0956255406810556,2.844753811521583,25.0,3,8,AMZN,28
14,11362.87822688332,13.628782268833195,15.405850556157485,0.9150861700578008,-11.134442149938362,23.25346070934915,54.54545454545454,10,11,AMZN,7
28,11207.658324891336,12.076583248913364,12.73949561366392,0.8725060615816055,-8.831435395660813,18.651251654175848,66.66666666666666,6,6,AMZN,1
7,10823.723017003382,8.237230170033815,7.586800787605741,0.7615688164905969,-11.061696482472982,13.828950764057456,50.0,17,22,AMZN,1
28,11069.403398544588,10.694033985445884,14.344094897734362,0.7592997941000769,-6.557820288828509,16.462557220046172,50.0,5,6,AMZN,21
7,10760.826610297352,7.6082661029735155,3.803370231777725,0.6229559769612865,-10.909578636421923,12.748568567769446,54.54545454545454,19,22,AMZN,7
14,10595.460920077072,5.954609200770711,14.085608541543415,0.5186798970944367,-9.463198999253187,9.927212552823782,36.36363636363637,9,11,AMZN,21
14,10194.24833221642,1.9424833221642013,18.332828962204562,0.2609154363313911,-15.134038097397873,3.1982089222539756,45.45454545454545,9,11,AMZN,14
7,10076.432472704426,0.7643247270442632,4.480823537172873,0.1533245120251791,-8.274216432669345,1.1989156404978996,26.08695652173913,10,23,AMZN,28
7,9776.180361817467,-2.2381963818253303,0.17313784272590116,-0.02952913032446641,-11.74957209436892,-3.636349222610691,31.818181818181817,13,22,AMZN,21
1,9360.99882558401,-6.390011744159896,-2.381320051147995e-05,-14.024264681738199,-6.390011744159885,-10.500361639975653,0.0,66,150,AMZN,14
1,9360.998823904936,-6.390011760950642,-1.8325324036005952e-05,-14.02426468211801,-6.390011760950642,-10.500361666945512,0.0,66,150,AMZN,21
1,9323.609765737689,-6.763902342623118,-2.1068563871295964e-05,-14.359335367767383,-6.670572358477456,-10.76204400195644,0.0,70,155,AMZN,28
1,9332.944055171118,-6.670559448288826,-1.886020453145676e-05,-14.426216617903659,-6.670559448288826,-10.814531427618446,0.0,69,152,AMZN,7
1,9148.046344171651,-8.519536558283491,-1.780776170967613e-05,-19.2689199186369,-8.427963976234565,-13.980758453999464,0.0,89,149,AMZN,1
