step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
28,15366.01229365543,53.66012293655431,35.77964691584248,4.0913679953124,0.0,90.47665883288218,83.33333333333334,5,6,AVGO,14
14,15799.865645995926,57.99865645995925,56.38210826048316,3.390901241653851,0.0,111.38257794857283,54.54545454545454,6,11,AVGO,21
28,13991.93230658958,39.91932306589581,53.37474928711614,3.0248502127847496,0.0,65.5070672035487,66.66666666666666,4,6,AVGO,21
7,14170.282377003405,41.702823770034044,34.61908860659106,2.507190161335351,-2.842663452327421,72.56005408797697,47.82608695652174,17,23,AVGO,7
21,16039.54467055375,60.395446705537516,61.61322378956857,2.467023771781209,-13.279446503887682,103.13654103363596,75.0,8,8,AVGO,1
14,12435.868978885806,24.35868978885807,26.922003254809024,2.272118380533934,-3.2179039301310053,38.680119326474816,41.66666666666667,6,12,AVGO,28
7,13770.515848433002,37.70515848433003,34.61908860659106,2.2613466855372457,-5.4925738214779525,65.00126897670258,34.78260869565217,12,23,AVGO,28
21,12419.682311783537,24.196823117835375,28.429877214736333,2.2191314183009334,0.0,38.409446044649776,37.5,3,8,AVGO,21
14,15331.141616282595,53.31141616282595,37.573948949833145,2.216622370889869,-14.656571208361447,101.21824460312716,81.81818181818183,10,11,AVGO,1
14,14204.806233104939,42.04806233104939,30.7539431011433,2.202095137223644,-8.246764976050313,77.59862725613394,63.63636363636363,8,11,AVGO,14
28,13360.248397348985,33.60248397348986,34.369884480381785,2.038996474953889,-7.7160506348251445,54.426489550963566,66.66666666666666,6,6,AVGO,7
21,11848.376481942782,18.48376481942782,32.15750264086241,1.7327296885390706,0.0,28.969871803674696,25.0,2,8,AVGO,28
7,12685.176585224202,26.851765852242025,39.716220106000044,1.6620156336803027,-7.8476059238824725,47.58107333239971,36.36363636363637,14,22,AVGO,14
14,12891.023009264161,28.91023009264162,26.922003254809024,1.6584658773474206,-13.984745305412593,46.36292340903005,66.66666666666666,11,12,AVGO,7
28,12905.795031736432,29.057950317364313,29.804037509126925,1.6242580782168292,-10.423202632016348,46.614574770961696,66.66666666666666,6,6,AVGO,1
21,13113.711855748337,31.13711855748338,32.15750264086241,1.6086112189194595,-14.057657515511867,50.17182379734162,75.0,8,8,AVGO,7
28,11296.946841203639,12.969468412036388,34.369884480381785,1.3862133303785966,-2.406835472068636,20.071967687704408,33.33333333333333,3,6,AVGO,28
7,13547.126086361346,35.47126086361345,69.3447934142316,1.3507335145649795,-26.506434007018253,64.34251137831663,50.0,17,22,AVGO,1
7,11734.781034457605,17.347810344576043,50.17542710169023,0.9990105931992832,-15.009054107878816,29.923092019521302,45.45454545454545,14,22,AVGO,21
21,11099.012048075314,10.990120480753141,31.929385002661625,0.6340312155724442,-19.260935133512557,16.930143924975383,37.5,6,8,AVGO,14
1,9221.642546833753,-7.783574531662474,0.0018311166422924074,-16.55469281795963,-7.783574531662463,-12.343307239869983,0.0,81,155,AVGO,28
1,9230.832275294795,-7.691677247052054,0.0017867492491108194,-16.67805458338558,-7.691677247052054,-12.426440052199572,0.0,80,152,AVGO,1
1,9175.620637254156,-8.243793627458441,0.0019633118418571627,-17.794265704182095,-8.243793627458441,-13.13236291312454,0.0,86,154,AVGO,21
1,9148.11237305779,-8.518876269422105,0.0018311166422924074,-18.374583320876738,-8.518876269422105,-13.476816931990331,0.0,89,155,AVGO,7
1,9166.450854310731,-8.335491456892685,0.0015102696493629608,-18.741373325019662,-8.335491456892685,-13.68786638194961,0.0,87,149,AVGO,14
