step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
28,12147.177447918404,21.47177447918405,13.198938132562809,2.403343973514621,0.0,33.87918616362242,66.66666666666666,4,6,BLK,21
7,12400.524560002219,24.005245600022196,26.27362479528168,1.9372829090547357,-12.667561855634613,40.040612632937986,69.56521739130434,22,23,BLK,7
7,11534.69272719078,15.346927271907806,16.171547464659277,1.4339473868009744,-10.782224216959557,26.31775905716742,50.0,16,22,BLK,14
7,11509.320471312796,15.09320471312796,26.27362479528168,1.3326989670465168,-12.667561855634602,24.610897924296182,52.17391304347826,16,23,BLK,21
14,11861.745744781661,18.61745744781662,19.596911421238804,1.330488721521309,-9.614571832490348,29.188220505117425,58.333333333333336,9,12,BLK,21
21,11160.552513997827,11.60552513997828,18.81351871504766,1.2446173381196246,-8.413440445778054,17.90400102552794,62.5,7,8,BLK,14
14,11818.879527980089,18.188795279800885,19.596911421238804,1.2246424831385834,-14.25800685849855,28.4885590631327,75.0,12,12,BLK,7
28,11461.759569093809,14.617595690938078,15.292717450997383,1.1287067582949675,-8.775843790499138,22.7091481317508,83.33333333333334,6,6,BLK,1
21,11245.983322895494,12.459833228954942,13.350607714517547,1.045989938957602,-12.09417604011509,19.26037008827719,75.0,8,8,BLK,1
28,11313.828542074549,13.138285420745488,13.806121107311409,1.0339058001439867,-8.775843790499149,20.341214257860685,83.33333333333334,6,6,BLK,28
28,11253.415625622318,12.534156256223184,13.198938132562809,1.0194595918062297,-8.447952496401845,19.378615720640813,83.33333333333334,6,6,BLK,7
28,11095.853436055035,10.958534360550342,14.21943314811196,0.9858471306217729,-7.136569492195022,16.880232633994964,50.0,5,6,BLK,14
14,11148.892659019242,11.488926590192428,12.195591363445724,0.983136151649545,-11.161536760464664,19.478095754033387,63.63636363636363,10,11,BLK,1
21,11190.131455702034,11.90131455702035,12.788347722912397,0.968348961814998,-11.616880801962603,18.37303496536307,75.0,8,8,BLK,7
14,10976.896676350461,9.768966763504604,15.190633570768707,0.8567407279862645,-8.576462107312842,16.476766746609208,45.45454545454545,9,11,BLK,14
7,10458.520108222345,4.585201082223445,13.980119212860531,0.6418153969658746,-8.303934060948137,7.611921403907473,50.0,18,22,BLK,1
21,10573.612739150198,5.736127391501977,12.788347722912397,0.5496192763955666,-9.98409177256364,8.726422992906645,50.0,5,8,BLK,21
14,9990.898994322099,-0.0910100567790173,11.238972096575495,0.0479370511778575,-8.06563178375599,-0.1488824172169223,45.45454545454545,8,11,BLK,28
7,9737.532488676627,-2.624675113233732,15.640579735914372,-0.454047794459807,-7.213355116261622,-4.258939839853193,27.27272727272727,10,22,BLK,28
21,9154.661952834493,-8.45338047165507,13.571851309546567,-1.0118296693061455,-12.09417604011509,-12.408196574519293,25.0,4,8,BLK,28
1,9212.346838721813,-7.8765316127818785,-0.00024686553183883575,-17.248041157405897,-7.784289788668608,-12.795583326065795,0.0,82,151,BLK,14
1,9157.207394260771,-8.427926057392288,-0.00021658102042909633,-18.27069068146611,-8.336236336128245,-13.417435334167704,0.0,88,154,BLK,28
1,9148.045037715216,-8.519549622847844,-0.00021393656823853746,-18.515008782914368,-8.42795164286273,-13.55915042597241,0.0,89,154,BLK,1
1,9129.752412758748,-8.70247587241253,-0.00024123425171884705,-18.867982327478696,-8.611061053691682,-13.758959550550209,0.0,91,155,BLK,21
1,9111.500400810608,-8.884995991893918,-0.00024123425171884705,-19.379402427929456,-8.79376392778547,-14.03909156776848,0.0,93,155,BLK,7
