step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
21,11463.215181923993,14.632151819239937,20.47785953564918,1.7173172608288751,0.0,22.732524474646798,50.0,5,8,BMY,28
28,10498.13047544892,4.981304754489191,17.856212204002265,1.7005212717894453,0.0,7.564248932651418,33.33333333333333,2,6,BMY,21
14,11778.336778228766,17.783367782287662,19.067290074213396,1.511250870303366,-9.30011661357103,30.713131829393014,72.72727272727273,11,11,BMY,7
14,11775.699904902336,17.75699904902337,16.632201941995817,1.483573097672165,-7.185449021265455,27.785063815625133,50.0,7,12,BMY,21
7,11601.813974862318,16.018139748623184,25.465986093801085,1.4153001698089935,-9.910291656707138,27.522797831723402,63.63636363636363,21,22,BMY,7
14,10690.474481383808,6.904744813838071,16.632201941995817,1.3200730946735992,-2.278379381256801,10.533894433621626,33.33333333333333,5,12,BMY,14
14,11611.563308379855,16.115633083798553,16.632201941995817,1.3194186466480609,-9.30011661357103,25.12268103682942,58.333333333333336,10,12,BMY,1
21,11953.779666964101,19.53779666964102,20.47785953564918,1.3173304934596568,-8.960642434848287,30.69466801969398,75.0,8,8,BMY,7
21,11953.779666964101,19.53779666964102,20.47785953564918,1.3173304934596568,-8.960642434848287,30.69466801969398,75.0,8,8,BMY,1
21,11559.56987813922,15.595698781392198,20.47785953564918,1.0747001144272168,-8.960642434848287,24.28322437955186,50.0,6,8,BMY,21
28,11716.786836562229,17.167868365622297,17.856212204002265,1.042267175208532,-10.019735275559627,26.82731354117518,83.33333333333334,6,6,BMY,7
28,11313.650825424354,13.136508254243552,17.856212204002265,0.826816000806931,-10.019735275559627,20.338378804758285,66.66666666666666,5,6,BMY,1
14,10695.583131633297,6.955831316332972,16.632201941995817,0.8167641147220097,-9.300116613571019,10.613135041279387,58.333333333333336,9,12,BMY,28
7,10789.637567331418,7.896375673314182,25.24478102511145,0.8142174959253403,-13.922247830972267,12.632287898123163,52.17391304347826,19,23,BMY,1
7,10524.95051984461,5.249505198446092,25.24478102511145,0.5609998182331833,-9.910291656707171,8.337604560477274,39.130434782608695,16,23,BMY,28
21,10518.225878957868,5.182258789578675,20.47785953564918,0.5001482590235461,-8.960642434848287,7.873244100358123,50.0,5,8,BMY,14
28,9885.792605408074,-1.142073945919253,17.856212204002265,-0.04152603836142329,-10.019735275559627,-1.708210320129644,50.0,4,6,BMY,28
7,9825.275146364116,-1.7472485363588364,25.24478102511145,-0.13197146430590798,-12.045616735950059,-2.7212851622909873,30.434782608695656,13,23,BMY,14
28,9752.260353515387,-2.4773964648461377,17.856212204002265,-0.17404034092476928,-10.019735275559627,-3.692983172369013,33.33333333333333,3,6,BMY,14
7,9724.034734766516,-2.759652652334843,25.24478102511145,-0.2650070374576022,-14.200765563411455,-4.285632721164645,34.78260869565217,14,23,BMY,21
1,9203.409560011552,-7.965904399884471,0.005700921281959204,-16.988291858716536,-7.965904399884471,-12.62490851883732,0.0,83,155,BMY,28
1,9203.399081871894,-7.9660091812810645,0.005700921281959204,-16.988297955661135,-7.966009181281053,-12.625070249276193,0.0,83,155,BMY,14
1,9148.199306746259,-8.518006932537414,0.005700921281959204,-18.373776400604342,-8.426512467556414,-13.475480154149299,0.0,89,155,BMY,21
1,9130.111347057433,-8.698886529425675,0.005700921281959204,-18.86711859931565,-8.698886529425664,-13.753447107286954,0.0,91,155,BMY,1
1,9075.440315612836,-9.24559684387164,0.00541547733763359,-20.640087948990388,-9.15483006799569,-14.678939565456417,0.0,97,154,BMY,7
