step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
7,16214.89417553362,62.14894175533621,55.1758356357007,3.861462426266346,-3.3214948843714454,113.08909709308668,60.86956521739131,18,23,C,1
28,15189.44473336553,51.89444733365529,52.74753309457172,3.8290521457976974,-1.8481809401675209,87.20301848199254,83.33333333333334,6,6,C,1
28,15189.44473336553,51.89444733365529,52.74753309457172,3.8290521457976974,-1.8481809401675209,87.20301848199254,83.33333333333334,6,6,C,7
14,16112.060185254364,61.12060185254364,59.92617116829471,3.120636439701566,-5.521251066065314,104.51568127542652,58.333333333333336,9,12,C,21
14,15808.752849755132,58.08752849755132,59.92617116829471,2.832027254048414,-5.521251066065314,98.76797569870119,66.66666666666666,12,12,C,1
14,15808.752849755132,58.08752849755132,59.92617116829471,2.832027254048414,-5.521251066065314,98.76797569870119,66.66666666666666,12,12,C,7
7,14412.552954135812,44.12552954135811,55.1758356357007,2.7766023142473113,-5.292851427079038,77.20013254343586,60.86956521739131,20,23,C,7
14,13054.050933024886,30.540509330248856,45.183954482317844,2.394358726308456,-2.6962670322514537,54.66833296228857,54.54545454545454,7,11,C,14
21,12812.257953025637,28.122579530256363,46.81741064660583,2.253080038335437,0.0,45.02354294381463,37.5,3,8,C,14
28,13394.074061114205,33.94074061114205,51.68097994450325,2.152335510148275,-1.001549671696944,55.01332932126572,50.0,4,6,C,14
21,14804.282840857408,48.04282840857408,48.69475146655835,2.12960740676845,-4.7751124676678085,80.12793106233704,50.0,5,8,C,28
7,12959.676595784902,29.596765957849016,55.1758356357007,2.062211663213776,-5.292851427079038,50.04942781197903,34.78260869565217,11,23,C,21
21,14756.29537489254,47.56295374892539,48.69475146655835,2.0302645150105723,-5.349018256060322,79.25282540184375,62.5,8,8,C,1
28,12028.088892139966,20.280888921399654,52.74753309457172,2.007279778454665,-1.8481809401675209,31.915231382021346,50.0,4,6,C,21
14,12697.91520557613,26.97915205576129,59.92617116829471,1.9344714813444872,-5.521251066065314,43.086491190107566,41.66666666666667,7,12,C,28
7,12263.896731070987,22.638967310709866,22.09116443221464,1.8304666782029462,-5.193570346982035,39.64597730521917,27.27272727272727,9,22,C,14
21,14125.2245698936,41.252245698935994,48.69475146655835,1.7895463068090314,-4.7751124676678085,67.87771206655412,50.0,6,8,C,7
28,10951.844720489495,9.518447204894942,52.74753309457172,1.302451502009764,-1.8481809401675209,14.612217786329174,33.33333333333333,3,6,C,28
7,10809.326186151502,8.093261861515021,55.1758356357007,0.8750170372462838,-5.292851427079048,12.95414997712867,26.08695652173913,9,23,C,28
21,11112.695909456326,11.126959094563272,48.69475146655835,0.6946811341902026,-4.7751124676678085,17.146453576556908,25.0,4,8,C,21
1,9512.024855765543,-4.8797514423445705,0.0035204788604081827,-11.243530906869497,-4.8797514423445705,-8.113094775052765,0.0,50,149,C,14
1,9426.75754616853,-5.732424538314696,0.003921443417653769,-12.404583845178287,-5.638398981471737,-9.151424383066242,0.0,59,155,C,28
1,9398.65839111533,-6.013416088846702,0.003921443417653769,-12.919505343426634,-5.919670802148347,-9.591282370949328,0.0,62,155,C,21
1,9314.611002781012,-6.8538899721898865,0.003921443417653769,-14.547249543459445,-6.760983001577481,-10.90203044787954,0.0,71,155,C,1
1,9267.977427723847,-7.320225722761531,0.003921443417653769,-15.51974016790449,-7.227783890648876,-11.62611508745044,0.0,76,155,C,7
