step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
28,12447.616820930958,24.476168209309577,25.07319625893767,4.83916573026039,0.0,48.30479041985933,100.0,5,5,JPM,1
14,13226.365781673107,32.26365781673106,23.980729250921804,3.992546253434266,-2.3052303797500007,58.0232050235489,72.72727272727273,9,11,JPM,21
7,13036.063710903514,30.36063710903514,29.37465503046852,3.37826177303564,-2.0157057200498874,54.31974728336903,63.63636363636363,18,22,JPM,21
14,12434.507101006302,24.345071010063023,22.618276021762206,3.353934085004005,-1.983544159535866,42.838986018433744,63.63636363636363,8,11,JPM,28
7,11996.34355012037,19.963435501203698,26.141204928760843,2.645714065050832,-2.708519091169048,34.695391379444416,40.909090909090914,12,22,JPM,28
14,12288.47772939436,22.884777293943603,24.094684954514236,2.3726706001775923,-5.072917025670886,44.909399291621455,80.0,10,10,JPM,1
28,11707.07386706357,17.070738670635688,17.628630643299093,1.9624659554150299,-1.7606463572962583,26.669640472007416,50.0,4,6,JPM,28
21,11997.881267218701,19.97881267218702,20.92103061096924,1.8693435331452388,-5.000472016030999,31.418601005869707,75.0,8,8,JPM,7
14,11635.143523543726,16.35143523543725,23.777536366712116,1.84023392675305,-3.031402992226373,28.122820756316756,63.63636363636363,10,11,JPM,7
28,11471.287088346444,14.712870883464447,20.902832392278835,1.8112600160117842,-3.280385343115233,22.862181793639323,66.66666666666666,5,6,JPM,14
7,11685.066671518667,16.85066671518667,19.044400514691052,1.6907258068988664,-6.066601833833851,29.02362148518329,54.54545454545454,20,22,JPM,7
21,11417.691960230712,14.176919602307114,14.964021248871507,1.649842460431689,-2.941668553644905,25.517908709586546,71.42857142857143,7,7,JPM,1
28,11577.947436399729,15.779474363997291,19.3548711774151,1.594005576813447,-4.296988995274154,24.57972283573571,66.66666666666666,5,6,JPM,7
28,11365.227368733447,13.652273687334482,15.179726136981753,1.4460950544898752,-4.180671795207703,21.16221180402058,50.0,4,6,JPM,21
21,11657.000506093207,16.57000506093207,12.113564657446574,1.3681627834535612,-6.779012464915734,25.857825211840545,62.5,7,8,JPM,21
21,11276.741532295313,12.767415322953134,19.99054707788135,1.2818614978804983,-5.246943556991401,19.749977228131343,50.0,7,8,JPM,14
21,11021.80863616198,10.218086361619804,17.388769005903093,1.0784030207585018,-4.928966322845019,15.712239657156402,37.5,4,8,JPM,28
7,10575.935975562967,5.759359755629667,17.97499706269756,0.8237595961974917,-4.025090978941859,10.604771644438626,45.0,16,20,JPM,1
14,10360.994512732135,3.6099451273213568,10.583954296047903,0.5563982754163153,-7.502923722461374,5.974740653076616,36.36363636363637,6,11,JPM,14
7,10237.79295636361,2.377929563636094,9.04561589609112,0.3118491508059192,-7.556257595978666,3.9205143292966538,27.27272727272727,13,22,JPM,14
1,9277.063648114556,-7.2293635188544485,-0.001043371837550211,-15.515268536874169,-7.136452495991497,-11.626259739009104,0.0,75,153,JPM,28
1,9295.563039565974,-7.044369604340261,-0.0012020754064701045,-15.60840285249279,-6.951273307618333,-11.695476894627577,0.0,73,148,JPM,14
1,9239.934375294226,-7.600656247057735,-0.0009931079256397801,-16.348337550535884,-7.50811707878658,-12.208061829139648,0.0,79,153,JPM,21
1,9295.634117824744,-7.0436588217525635,-0.0008482915152097092,-16.634948195005364,-6.950561813172429,-12.402550166789483,0.0,73,139,JPM,1
1,9221.51586075709,-7.784841392429098,-0.001001012820511793,-17.019644551891336,-7.784841392429098,-12.650686346683027,0.0,81,151,JPM,7
