step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
7,16118.81413243282,61.188141324328214,96.36427716317972,3.0541174240785507,-3.330264065192756,118.409902447963,36.36363636363637,10,22,LLY,28
7,15256.70884918385,52.56708849183849,63.634164542304326,2.7491353813747264,-6.091101786180031,93.7118221336861,52.17391304347826,16,23,LLY,7
14,14947.972923625157,49.47972923625157,89.45283755079556,2.5217236534304,-3.3836195458273544,106.18076397697477,40.0,6,10,LLY,14
21,14198.185128618945,41.98185128618945,78.47525397493587,2.502838858725656,-0.6007019070454422,82.3772125147983,42.857142857142854,4,7,LLY,14
7,13750.534880161778,37.50534880161778,69.08615359424633,1.8830578441191452,-7.252955704567654,77.40884386586164,25.0,10,20,LLY,14
7,13358.251300880673,33.58251300880673,63.634164542304326,1.7965247261616062,-7.075226140845636,57.33504746088451,39.130434782608695,13,23,LLY,21
14,13482.981897382137,34.82981897382136,39.29914671762364,1.6862267693866877,-7.987779174962317,56.55932028804762,50.0,9,12,LLY,7
14,13432.68840094352,34.3268840094352,64.34974632447906,1.6474648701849728,-11.275534837525436,62.076920118099025,45.45454545454545,8,11,LLY,28
21,12045.20194695486,20.4520194695486,21.27690203275041,1.5212073872265217,-9.198255263481126,37.574655059928475,71.42857142857143,7,7,LLY,1
14,12258.139020088885,22.58139020088885,39.29914671762364,1.3803568748239903,-7.987779174962317,35.71780078897122,41.66666666666667,7,12,LLY,21
14,12709.682590309147,27.09682590309146,25.848240609822028,1.2935505651580304,-14.537306561105346,48.04789746148839,45.45454545454545,10,11,LLY,1
21,11817.34356797023,18.173435679702308,54.7885188489335,1.2614094759449521,-3.4165273025362097,28.463512669023917,25.0,4,8,LLY,28
21,13066.74766580248,30.667476658024807,49.87703490803857,1.1785933112387235,-6.60570942893658,49.36583005239748,37.5,7,8,LLY,7
28,12736.893990987615,27.368939909876143,28.10911070720554,1.1389458558120737,-11.653330232029713,43.74584536898445,50.0,6,6,LLY,1
21,11129.18590711864,11.291859071186416,49.87703490803857,0.9290183498627571,-6.088966201338186,17.407298632632973,25.0,4,8,LLY,21
28,12043.47553481872,20.434755348187196,39.395133381259996,0.8735763934654669,-10.793558070021525,32.168436383743185,33.33333333333333,4,6,LLY,28
28,11141.228072738511,11.412280727385117,40.133708227967645,0.7328559818775486,-10.793558070021525,17.59790833222794,50.0,5,6,LLY,7
28,10988.913761986243,9.889137619862431,40.133708227967645,0.53208952975063,-10.793558070021525,15.194607082652723,16.666666666666664,3,6,LLY,21
7,9991.431156835017,-0.08568843164983297,13.615817983165556,0.15743044842607326,-23.553394781255278,-0.14684949646078804,42.857142857142854,14,21,LLY,1
28,9590.229054491972,-4.097709455080278,53.72563029818287,-1.178578916170097,-4.514013729580457,-7.254645813637617,20.0,2,5,LLY,14
1,9502.5273127351,-4.974726872649004,0.0002349686224478731,-12.179943084000625,-4.879544300599803,-8.95901800354233,0.0,51,137,LLY,14
1,9360.969842917528,-6.390301570824719,0.0002412913921112647,-13.703017580579647,-6.296536916727913,-10.2425562697827,0.0,66,154,LLY,28
1,9389.14728211782,-6.108527178821809,0.0001469267524312201,-14.126102105453873,-6.0144802839012135,-10.582801741535775,0.0,63,142,LLY,1
1,9267.803318742219,-7.3219668125778075,0.00025974522945837464,-15.519866542380088,-7.229135365943396,-11.628814233872598,0.0,76,155,LLY,21
1,9212.324946574685,-7.876750534253151,0.00025974522945837464,-16.770276365503943,-7.784474789694862,-12.48725747180266,0.0,82,155,LLY,7
