step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
28,14620.6851873834,46.206851873834,47.03263581678283,5.272921694035665,0.0,76.78751408089452,100.0,6,6,MS,1
14,14305.078693847008,43.05078693847009,44.58181693404632,5.271624251295991,-0.8071960834909353,79.65470395440033,90.9090909090909,11,11,MS,1
28,14270.480915049506,42.70480915049506,43.51404517514956,5.193755962047831,0.0,70.47390660390613,100.0,6,6,MS,7
21,13981.976683554856,39.819766835548556,40.89653149078845,4.400434458206358,0.0,65.33045476719832,100.0,8,8,MS,1
14,14550.674588737107,45.50674588737107,45.07965653696522,4.357695181268871,0.0,75.51922490799869,75.0,9,12,MS,28
28,13883.686270076623,38.836862700766225,43.51404517514956,4.059329327077387,0.0,63.59016371189335,83.33333333333334,5,6,MS,21
7,14252.003981407292,42.52003981407291,42.328739059153975,4.053495479403768,-0.5589604762223921,78.56526579058358,50.0,13,22,MS,14
7,14005.118298243153,40.051182982431534,48.133385710894075,4.033722050212197,-1.9234597722088465,69.4223161499664,56.52173913043478,16,23,MS,21
7,14036.734789616869,40.367347896168695,48.133385710894075,3.9812440858288314,-1.3615741779833712,70.0213468304627,47.82608695652174,14,23,MS,28
14,12320.355162964079,23.203551629640785,49.76172907958634,3.640993330203346,0.0,40.69950002980494,54.54545454545454,6,11,MS,14
7,13403.283868341536,34.032838683415356,48.133385710894075,3.494886156365778,-1.3615741779833601,58.166027513826734,60.86956521739131,21,23,MS,7
14,13919.965761007605,39.199657610076045,45.07965653696522,3.4933789818927026,-1.5228624914974453,64.23179914225099,75.0,11,12,MS,7
28,13662.950632017184,36.629506320171835,45.9135268336843,3.491905716413044,0.0,59.704351151176915,83.33333333333334,5,6,MS,14
7,13613.719523547454,36.137195235474536,44.387692608393614,3.481037598406873,-4.312002782543079,65.66652464243975,59.09090909090909,18,22,MS,1
21,12739.79879971506,27.397987997150587,43.389454507074966,3.419037546924387,0.0,43.795022742134314,75.0,6,8,MS,14
21,13646.124115783005,36.461241157830045,37.51560106536142,3.349985198672459,-1.4245526310577628,59.409417751938506,87.5,8,8,MS,7
14,13651.434184625885,36.51434184625886,45.07965653696522,3.1899139458287955,-1.5228624914974453,59.50247245191163,58.333333333333336,9,12,MS,21
28,12000.847555982284,20.008475559822834,43.51404517514956,2.654725689554026,0.0,31.467340813055024,66.66666666666666,4,6,MS,28
21,12432.921569696475,24.329215696964756,37.51560106536142,2.3080312877086757,0.0,38.63081965485578,50.0,4,8,MS,21
21,11254.00384633826,12.540038463382608,37.51560106536142,1.5685627555686505,0.0,19.387975797806114,37.5,3,8,MS,28
1,9379.819291886206,-6.201807081137945,0.0034380461102490045,-13.269754289894223,-6.107940934693723,-9.885725130004474,0.0,64,155,MS,28
1,9351.77031429016,-6.482296857098413,0.00339963973163826,-14.13038157996258,-6.388711403635217,-10.581893826315781,0.0,67,151,MS,14
1,9323.713431403856,-6.7628656859614384,0.0034380461102490045,-14.359293901205813,-6.669561004589475,-10.760430866553994,0.0,70,155,MS,21
1,9295.82533612309,-7.041746638769086,0.0037090131543626725,-15.021146220452533,-6.948721040389461,-11.2624236924179,0.0,73,154,MS,1
1,9166.506341730475,-8.33493658269524,0.0034380461102490045,-17.897736321499966,-8.243205111130635,-13.193796125352808,0.0,87,155,MS,7
