step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
21,11106.970325694498,11.069703256944985,1.7425712861438791,1.5434383523966502,0.0,17.05592935517086,25.0,2,8,MSFT,21
21,10393.918088276825,3.939180882768256,1.7425712861438791,1.1266105720546384,-1.5619326197943595,5.966584126137753,25.0,3,8,MSFT,28
7,10453.779310035205,4.53779310035205,6.672076266978855,0.749206638537483,-5.832431115669379,7.532111131776986,40.909090909090914,18,22,MSFT,14
21,10464.54624070518,4.6454624070517925,-5.850739317310049,0.5197503314035369,-7.586772986796586,7.048503916401194,37.5,6,8,MSFT,14
28,10421.15823009455,4.211582300945493,4.834735723091477,0.47919272126666557,-7.644862202365621,6.3834291277951705,66.66666666666666,6,6,MSFT,7
14,10180.630868281118,1.8063086828111752,3.0334343352917736,0.2667145973892471,-9.088137204895286,2.7216617533604825,66.66666666666666,12,12,MSFT,7
28,10097.166238740649,0.9716623874064911,4.834735723091477,0.1597897428651741,-7.644862202365655,1.4610283475479102,50.0,5,6,MSFT,1
21,10093.206784393882,0.9320678439388219,1.7425712861438791,0.15855427258870786,-10.754893906644103,1.4013545369217173,50.0,8,8,MSFT,1
21,10093.206784393882,0.9320678439388219,1.7425712861438791,0.15855427258870786,-10.754893906644103,1.4013545369217173,50.0,8,8,MSFT,7
7,10058.440951908673,0.5844095190867371,-4.696595880688259,0.13317622056345532,-9.412472606377642,0.916237423488031,39.130434782608695,17,23,MSFT,1
14,9995.534463939612,-0.04465536060388464,4.6100936743677545,0.04742778936186581,-8.823949278424204,-0.07306202518829741,36.36363636363637,8,11,MSFT,14
14,9983.411799678383,-0.16588200321617785,3.0334343352917736,0.04051400850647805,-9.34668401369364,-0.24871978813184592,50.0,10,12,MSFT,1
28,9973.078091448806,-0.2692190855119403,4.834735723091477,0.030879944629860587,-8.068764791323979,-0.4035567102551818,16.666666666666664,3,6,MSFT,21
14,9813.39704894722,-1.8660295105278002,3.0334343352917736,-0.16239961575223913,-9.658372071433895,-2.7859456206948296,33.33333333333333,8,12,MSFT,21
7,9656.097011875327,-3.4390298812467357,-4.696595880688259,-0.264461248431618,-14.349002660744636,-5.330249655909681,43.47826086956522,19,23,MSFT,7
28,9221.93373607632,-7.780662639236802,-11.89956468859904,-0.39680248963454334,-17.314179113359053,-11.44094044837345,50.0,5,6,MSFT,14
14,9619.292261604405,-3.807077383955948,3.0334343352917736,-0.459861058821381,-8.580820984516945,-5.6559142934808015,50.0,9,12,MSFT,28
7,9413.336733708496,-5.866632662915039,-4.696595880688259,-0.7520995199352749,-9.486286440557413,-9.02898977462141,21.73913043478261,12,23,MSFT,28
7,8790.977647380458,-12.09022352619542,-4.696595880688259,-1.2684553855307283,-17.224114206968434,-18.265386318549492,26.08695652173913,16,23,MSFT,21
28,9264.786527204888,-7.352134727951121,4.834735723091477,-1.4054899473496685,-8.068764791323968,-10.822945090492341,16.666666666666664,3,6,MSFT,28
1,9184.768351419003,-8.152316485809974,0.0008027596070103726,-17.436330948691907,-8.06030049732971,-12.912453903531397,0.0,85,155,MSFT,1
1,9184.777015396156,-8.15222984603844,0.0008027596070103726,-17.436331724046486,-8.060213770759649,-12.912320344237271,0.0,85,155,MSFT,28
1,9166.392509520248,-8.336074904797519,0.0004960106282370091,-18.592467362845042,-8.244243011461716,-13.604047697128262,0.0,87,150,MSFT,14
1,9138.963745717143,-8.610362542828575,0.0008027596070103726,-18.619124184476497,-8.518805439745247,-13.617450773331107,0.0,90,155,MSFT,21
1,9093.356208737787,-9.066437912622128,0.0008027596070103726,-19.91043945979936,-8.975337720637345,-14.317220913738337,0.0,95,155,MSFT,7
