step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
14,16854.307520509334,68.54307520509333,65.81226379373173,3.1418549446619344,-5.930883149989685,134.95327075821325,63.63636363636363,9,11,TMO,7
7,17972.990775757014,79.72990775757015,70.95347535127074,3.115933539187103,-2.939362874924134,150.34343226933223,52.17391304347826,13,23,TMO,28
28,16403.536972926348,64.03536972926346,57.57319537883549,3.037055491399043,0.0,110.09042168218409,66.66666666666666,4,6,TMO,21
7,17401.45299707501,74.0145299707501,70.5590442159199,2.996316220200569,-6.0656871924737015,147.56279915490106,59.09090909090909,18,22,TMO,7
14,16219.463914477477,62.19463914477477,63.91356416721854,2.9223428445923925,-5.845456587819164,120.64601288105905,81.81818181818183,11,11,TMO,1
14,15762.875329460536,57.62875329460535,61.14385730584952,2.861122473100423,0.0,97.9033569498998,41.66666666666667,5,12,TMO,28
7,16728.49222557195,67.2849222557195,70.95347535127074,2.712298377371125,-4.325834422213148,123.74764232284923,47.82608695652174,15,23,TMO,21
28,15698.594371092982,56.98594371092982,57.57319537883549,2.6324358104328467,0.0,96.69401802416826,66.66666666666666,4,6,TMO,28
7,16655.45005459821,66.55450054598208,79.32853334753491,2.5765110846850594,-6.989898352845946,130.43412345618117,68.18181818181817,21,22,TMO,1
14,15523.736714639677,55.23736714639678,61.14385730584952,2.5682014681429246,-5.845456587819164,93.41689300629821,50.0,7,12,TMO,21
28,15366.920199768263,53.669201997682634,54.53263786882792,2.333544300518672,-5.824193840642177,90.49354065043407,83.33333333333334,6,6,TMO,1
21,15628.950134971805,56.28950134971804,55.984860926814136,2.226406680412231,-5.221785616202368,95.386569711594,62.5,6,8,TMO,7
28,15336.92413547293,53.36924135472929,54.2316585564812,2.208205012311133,-6.84977766484719,89.93605088669602,83.33333333333334,6,6,TMO,7
21,15527.595361366868,55.27595361366868,56.45993138590344,2.0874442244349076,-5.936214655427452,93.48901228890763,75.0,8,8,TMO,1
21,14641.678090204561,46.416780902045616,55.22482281434002,1.8055537656617573,-5.936214655427441,77.16840747971365,50.0,5,8,TMO,21
21,12919.956608606837,29.199566086068373,55.22482281434002,1.4014227397568055,-5.936214655427441,46.85596203647378,37.5,4,8,TMO,28
14,11302.444475061377,13.024444750613773,45.95089588075722,1.3351674262107003,-7.647144778053027,22.182597223848344,36.36363636363637,7,11,TMO,14
21,10648.80677707428,6.4880677707428,36.80290005340026,0.7865192986280006,-6.242453322814789,9.888291255539361,37.5,5,8,TMO,14
7,10000.572041119316,0.00572041119315525,32.48533776312155,0.04839065441590092,-7.536332557088454,0.009360843236838612,22.727272727272727,11,22,TMO,14
28,9895.16121572504,-1.0483878427495985,30.829158273895985,-0.0814270017941117,-6.638885466435873,-1.568452844772028,16.666666666666664,2,6,TMO,14
1,9212.372825777204,-7.876271742227969,0.0005042608507199731,-17.248036882176876,-7.784097493008868,-12.79517279192831,0.0,82,151,TMO,14
1,9193.928919106147,-8.06071080893853,0.00021057668759816295,-17.333095101475138,-7.968721099933152,-12.848554322793404,0.0,84,154,TMO,1
1,9184.774117066823,-8.152258829331771,0.0002572531781819265,-17.436329963996066,-8.06036071855203,-12.912365023359706,0.0,85,155,TMO,28
1,9166.3644781363,-8.336355218637003,0.00031975248353521835,-18.03049696470231,-8.244641305205647,-13.275711611390618,0.0,87,154,TMO,7
1,9148.081796952029,-8.51918203047971,0.0002572531781819265,-18.37459034893326,-8.427651044123042,-13.477287098356028,0.0,89,155,TMO,21
