step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
14,11939.839756015072,19.398397560150716,3.8790120351882784,1.5177545099654661,-0.44073068203308585,33.6587953273207,18.181818181818183,3,11,UNH,14
21,12883.40712636683,28.834071263668303,-2.826039906810296,1.5170286751058313,-8.831490806686936,46.233238018770194,50.0,5,8,UNH,28
7,12268.465160315036,22.684651603150364,24.402030497569747,1.1129686625367885,-10.91491588690834,37.71334217945783,30.434782608695656,13,23,UNH,28
14,12127.41453881129,21.2741453881129,18.015390018550836,1.0633154283460569,-12.601664360554121,37.11193938331694,54.54545454545454,10,11,UNH,1
21,11770.464614078506,17.704646140785062,14.66345177054096,0.9371596603929575,-16.41554594978999,32.23927741454025,57.14285714285714,5,7,UNH,14
7,11631.13280905519,16.311328090551914,24.402030497569747,0.8103995126615775,-12.806756217511705,26.681360448681126,39.130434782608695,18,23,UNH,21
7,10755.616479184764,7.556164791847642,24.402030497569747,0.47460051768191547,-13.29161498738516,12.076906199544402,34.78260869565217,19,23,UNH,7
21,10572.94171197404,5.729417119740399,-2.826039906810296,0.3890239081471807,-25.181334082368835,8.716073092330578,62.5,7,8,UNH,21
28,10080.513523805836,0.8051352380583632,0.21631375084956161,0.1807535801517401,-3.950703793995336,1.2101305151960506,33.33333333333333,3,6,UNH,28
28,9961.430569127788,-0.38569430872211763,0.21631375084956161,0.10266665326806111,-15.509937260902273,-0.5779832535898088,66.66666666666666,6,6,UNH,7
28,9848.834011118763,-1.5116598888123778,-0.9154560343120677,0.041259644346708375,-18.280433191500034,-2.2588989368423906,66.66666666666666,6,6,UNH,1
7,9655.713383626218,-3.442866163737812,-0.7680956480468404,-0.01456333004713704,-21.043260782297622,-5.571804700405902,27.27272727272727,14,22,UNH,1
14,9579.700706464188,-4.20299293535813,7.424091671146393,-0.01680969323691546,-18.329948342670967,-6.237773579941852,41.66666666666667,10,12,UNH,21
14,9579.700706464188,-4.20299293535813,7.424091671146393,-0.01680969323691546,-18.329948342670967,-6.237773579941852,41.66666666666667,10,12,UNH,7
14,8886.330508393217,-11.136694916067825,7.424091671146393,-0.351920080537709,-21.71161922618414,-16.230930219812723,25.0,7,12,UNH,28
21,8430.783473643289,-15.692165263567116,-2.826039906810296,-0.5759481091024709,-25.181334082368846,-22.589138039122414,50.0,7,8,UNH,7
21,8586.687981696932,-14.133120183030679,-3.4469254153387974,-0.5789855048232946,-20.70019151693342,-20.431985130107567,37.5,6,8,UNH,1
28,8929.747518898388,-10.702524811016122,-4.543879409665752,-0.6780637003187228,-15.996516706179765,-15.61626006942104,33.33333333333333,3,6,UNH,14
7,9054.042388963346,-9.459576110366541,2.589289807921036,-0.7103690133774165,-24.003642599053755,-15.66346488926854,33.33333333333333,15,21,UNH,14
28,8449.788903008977,-15.502110969910232,0.21631375084956161,-1.1270714951737426,-18.847889375084858,-22.327230796698682,33.33333333333333,4,6,UNH,21
1,9203.075673962989,-7.969243260370118,0.00013485603180818373,-17.609580292629044,-7.969243260370118,-13.022398288208725,0.0,83,150,UNH,1
1,9166.384563286492,-8.336154367135073,0.00015070174232967304,-19.05028659418138,-8.244287333525113,-13.8616204503613,0.0,87,147,UNH,14
1,9102.409056218732,-8.975909437812678,0.00017056016605732083,-19.642341863502207,-8.975909437812678,-14.178494667307117,0.0,94,155,UNH,28
1,9084.219631397775,-9.157803686022248,0.00017056016605732083,-20.183841782609235,-9.157803686022259,-14.45714263571144,0.0,96,155,UNH,21
1,9075.119236878927,-9.248807631210731,0.00017056016605732083,-20.46285026627652,-9.157855273910776,-14.59642271886663,0.0,97,155,UNH,7
