step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
7,13437.302672342757,34.37302672342757,30.646882517090333,2.311046143891091,-5.883431271023554,62.16803486080189,59.09090909090909,20,22,WFC,7
14,12978.16982177923,29.781698217792286,31.184015262808206,2.2351949965023055,-4.85089709963632,53.19986306841993,63.63636363636363,11,11,WFC,7
7,12597.21119134861,25.972111913486096,21.679222388097095,1.8579763404005027,-5.752685505802213,43.532831040763995,43.47826086956522,14,23,WFC,21
21,12413.871508499009,24.138715084990082,25.109950944726922,1.7677872939432469,-6.966758644497983,38.312320857072876,75.0,8,8,WFC,7
28,12257.376050392757,22.573760503927566,19.5766787340943,1.7569075795624747,-5.025432843231304,35.705129988235115,50.0,4,6,WFC,14
7,12197.023055706295,21.970230557062955,21.679222388097095,1.738293973361996,-6.859147405752908,36.46020452956768,34.78260869565217,10,23,WFC,28
14,12391.253322182885,23.912533221828845,28.178063846176606,1.7376422307367088,-6.018062306808202,37.93448364169243,58.333333333333336,10,12,WFC,21
14,12391.253322182885,23.912533221828845,28.178063846176606,1.7376422307367088,-6.018062306808202,37.93448364169243,58.333333333333336,10,12,WFC,28
21,12255.428313276738,22.554283132767374,23.514650927204684,1.6747985922167425,-6.966758644498006,35.67278529020568,75.0,8,8,WFC,1
14,11404.537895400817,14.04537895400817,26.040166499088247,1.544386615084436,-4.85089709963632,23.993768816531656,54.54545454545454,10,11,WFC,1
7,11907.217968975257,19.072179689752566,27.13952863172271,1.503256224364173,-6.197769997055658,33.061747973465195,45.45454545454545,15,22,WFC,14
28,12031.828999827101,20.318289998271013,21.021419739530955,1.4059904714950804,-5.279979173803195,31.976764289744473,66.66666666666666,6,6,WFC,7
28,12001.12963853607,20.0112963853607,20.712957738944727,1.3776331732822626,-5.521658484644421,31.471976093311227,66.66666666666666,6,6,WFC,1
14,11675.4470952236,16.754470952236012,30.97377655783289,1.3302433605272153,-6.266618682281299,28.849857402707514,45.45454545454545,8,11,WFC,14
7,11242.790760119755,12.427907601197541,24.587871951815888,1.052152661964897,-9.250412812617427,21.129123100293445,50.0,20,22,WFC,1
28,11212.941804760221,12.129418047602215,21.02363794017037,0.9687295690367846,-5.279979173803195,18.735162854540466,50.0,5,6,WFC,28
28,11212.941804760221,12.129418047602215,21.02363794017037,0.9687295690367846,-5.279979173803195,18.735162854540466,50.0,5,6,WFC,21
21,10811.216233046898,8.112162330468987,19.123861621161108,0.836003318716812,-6.976066284244975,12.411781487735984,50.0,6,8,WFC,21
21,10647.552770694509,6.475527706945083,18.445275497788604,0.6838990743049236,-6.966758644497995,9.868881114444395,37.5,5,8,WFC,14
21,10450.589011825095,4.505890118250955,19.123861621161108,0.5212718104295675,-6.976066284244964,6.834409277540554,37.5,4,8,WFC,28
1,9304.74734811108,-6.952526518889213,-0.006587571021987593,-14.917482884212808,-6.858849154384849,-11.191484420238218,0.0,72,153,WFC,14
1,9230.260549311515,-7.697394506884847,-0.0069113048361546525,-16.3419550359181,-7.604467052801578,-12.210084237257757,0.0,80,155,WFC,21
1,9221.211737432019,-7.78788262567981,-0.007006889832006369,-16.66714754203872,-7.695046272280647,-12.424957957889182,0.0,81,154,WFC,1
1,9138.32739126591,-8.616726087340897,-0.0069113048361546525,-18.618871005734533,-8.524724188313993,-13.627229617563053,0.0,90,155,WFC,28
1,9102.137562784666,-8.978624372153332,-0.007285442327342739,-19.804662172344774,-8.88698682130562,-14.267845691468029,0.0,94,154,WFC,7
