lookback,step_days,profit_pct_mean,sharpe_mean,cagr_pct_mean,max_dd_mean,n_symbols
1,14,32.56719784400189,1.8853616412238112,59.39219948667578,-9.24871535398094,30
1,28,32.088650012029454,1.953382327201737,55.39175519643656,-8.211654577994647,30
1,21,31.367935475779454,1.832741853809536,53.95576335719958,-8.072801878905732,30
7,14,29.470146852609084,1.706762519286552,51.59144619387466,-9.769875807398254,30
7,21,29.08110337418981,1.6748418480410572,48.759405777237575,-9.024647160773299,30
7,28,28.288324978217023,1.8047314654670787,46.836871816178466,-7.718608254171608,30
14,28,27.09361091777018,1.5840603166036482,46.58586417271214,-4.144966302307766,30
1,7,23.81249584504645,1.4909188634111998,43.31204977172705,-10.680953142321368,30
21,14,23.65066877521733,1.5494414443241518,41.54576529661959,-8.71086811606308,30
14,14,23.33302158569536,1.7262841352435723,42.72313202147659,-6.070168620531707,30
21,21,22.603581784186098,1.3890765118357278,38.58682718999064,-7.039961849531794,30
7,7,22.27895661603552,1.492312307318088,39.55710218923147,-10.520825240706872,30
28,21,22.118931296154937,1.418760610584814,38.00059418704919,-4.16200196617699,30
21,7,21.56572651463535,1.5416907998111786,38.101383134129186,-8.462503776122906,30
14,21,21.251939447482155,1.4379447017705138,36.62255733864542,-7.19061380726139,30
28,14,19.170338734044435,1.4528886861820764,31.387679962305494,-7.783195671617206,30
21,28,19.12474905204702,1.3557782792992117,31.604575677458417,-6.423229088899914,30
28,7,17.66433639746305,1.260545324239796,30.8769252103088,-8.026602780963678,30
14,7,15.844661070591037,1.330724814350259,28.318182075454313,-8.492326212452086,30
28,28,12.870198094627465,1.0125471323633877,20.977912704292216,-6.6982041346120385,30
14,1,-7.151880753188596,-15.849160448874404,-11.732976041433353,-7.099302484399923,30
28,1,-7.315236494935886,-15.625374870459385,-11.624299923969744,-7.250231084708305,30
21,1,-7.6664129707015976,-16.56666382800738,-12.263588077588135,-7.604852451262524,30
1,1,-7.865050724234638,-17.3480506397375,-12.80472202081301,-7.79126190713366,30
7,1,-8.165199080040642,-17.77576885978298,-13.04964492841036,-8.100945278918328,30
