lookback,step_days,win_rate_pct,n_trades,n_periods
1,1,0.0,86.0,145.75
1,7,58.576388888888886,18.0,21.25
1,14,64.20454545454545,10.25,10.75
1,21,66.96428571428571,7.5,7.5
1,28,69.16666666666666,5.75,5.75
7,1,0.0,84.25,151.5
7,7,58.1530572755418,18.0,22.0
7,14,66.5909090909091,10.5,11.25
7,21,77.08333333333334,7.5,7.75
7,28,69.16666666666666,5.75,6.0
14,1,0.0,71.5,148.0
14,7,63.61378205128205,13.5,21.5
14,14,67.76785714285714,8.0,11.0
14,21,68.75,4.75,7.5
14,28,85.41666666666666,4.75,6.0
21,1,0.0,76.25,149.25
21,7,65.92023172905526,14.25,21.5
21,14,60.70075757575757,7.75,11.0
21,21,75.17857142857143,5.25,7.5
21,28,65.0,4.0,6.0
28,1,0.0,70.66666666666667,155.0
28,7,66.66666666666666,12.0,23.0
28,14,68.45238095238095,7.333333333333333,12.0
28,21,87.77777777777779,4.666666666666667,8.0
28,28,68.33333333333333,4.333333333333333,6.0
