symbol,model,rmse_1d,mae_1d,mape_1d,rmse_7d,mae_7d,mape_7d,rmse_14d,mae_14d,mape_14d,rmse_28d,mae_28d,mape_28d
AAPL,CNN-LSTM,7.4519267,3.293982,3.2710989,9.547085,4.593896,4.523645,11.196778,5.6605306,5.744363,13.925502,7.331865,7.6306515
AAPL,LSTM,6.035549,3.0867453,4.140999,9.931554,5.0415545,5.635552,10.284422,5.5932207,6.521099,13.412677,7.3276463,8.057084
AAPL,GRU,5.903494,2.8770661,2.8631287,7.756131,4.052114,4.2991276,10.364668,5.5106325,5.780517,13.234773,7.257199,7.8221345
AAPL,CLAM,11.366261,5.7862134,6.0314727,13.08884,6.634023,6.7553535,13.449052,7.0013633,7.297402,15.372833,8.094313,8.522985
ABBV,CNN-LSTM,12.962654,5.973629,4.408701,15.671822,7.665396,5.923507,17.508541,8.823507,7.002674,22.116945,11.554431,9.218996
ABBV,LSTM,14.854559,6.947921,5.3483334,20.570065,9.679153,7.2729387,19.85755,10.027883,7.9772873,21.869429,11.512473,9.464667
ABBV,GRU,5.325337,2.7094991,2.442588,5.8773074,3.6116006,3.7636778,7.3213053,4.749004,4.9953675,10.006269,6.64764,6.8761044
ABBV,CLAM,12.57344,5.752086,4.550944,15.05137,7.366257,5.9754195,19.79876,9.723925,7.5851383,24.320993,12.313873,9.698127
AMD,CNN-LSTM,9.299084,3.5612378,7.621378,11.011006,4.630284,9.37526,14.956325,6.3694863,12.223221,19.120298,8.424598,15.837402
AMD,LSTM,8.604799,3.5768466,7.862465,14.320671,6.239424,10.627946,13.982167,6.4079633,12.596856,18.45205,8.479255,16.698153
AMD,GRU,4.401355,2.0655482,4.9529376,7.3625875,3.613529,8.413806,10.668539,5.145709,11.313847,15.360444,7.3883624,17.083897
AMD,CLAM,11.224399,4.7872443,11.960985,16.447498,7.014188,14.298107,19.593702,8.481762,16.550163,21.295649,9.328973,19.005175
AMGN,CNN-LSTM,13.125835,6.8857713,3.4201643,14.340401,8.338671,4.4461207,19.201069,11.117021,5.7883983,22.16013,13.130138,7.0222826
AMGN,LSTM,6.193128,4.096941,2.5816724,15.370079,9.174938,4.9760356,15.844804,9.775082,5.4935493,23.997332,14.264654,7.6124134
AMGN,GRU,4.3630757,2.8834984,1.8638239,9.720068,6.1958575,3.6518626,12.528933,8.07582,4.7696276,18.772081,11.679387,6.617938
AMGN,CLAM,20.04114,9.831643,4.7267385,21.237041,11.27708,5.6106205,21.87767,12.25046,6.266031,23.815119,13.779186,7.192845
AMZN,CNN-LSTM,7.3556805,3.5488465,3.6218696,10.710761,5.427697,5.413226,14.420738,7.3456755,7.1214957,17.875542,9.33374,9.189384
AMZN,LSTM,9.076065,4.624066,4.7462983,12.218214,6.346624,6.5096607,13.989179,7.4439,7.577013,17.737648,9.327397,9.57679
AMZN,GRU,3.754134,2.1670275,2.8754277,6.760545,3.865657,4.6157475,9.279039,5.314396,6.1323433,11.944212,7.0628004,8.231196
AMZN,CLAM,14.590587,7.4800286,7.4107685,16.758654,8.577304,8.369201,18.221989,9.44309,9.257686,20.647755,10.867354,10.759848
AVGO,CNN-LSTM,73.64706,25.474033,16.371874,77.43007,26.98153,17.721195,77.48177,27.346611,18.637362,79.7714,28.57039,19.720589
AVGO,LSTM,36.55721,11.090864,8.224503,31.019644,9.670408,8.503525,26.785757,8.679293,9.041003,31.32246,10.179953,10.271367
AVGO,GRU,23.723574,6.9572806,5.9457746,24.526731,7.546515,7.1061654,25.049786,7.952503,8.157181,29.49582,9.8869095,10.250515
AVGO,CLAM,71.28058,25.102736,17.111017,73.00647,25.856586,17.728767,74.62137,26.60437,18.291006,76.265076,27.569397,19.112326
AXP,CNN-LSTM,17.676281,7.3017597,3.9732246,24.743752,10.483421,5.7802296,26.60004,11.767454,6.7466965,30.304394,14.265772,8.456185
AXP,LSTM,20.507923,8.350071,4.3927884,15.648167,7.5547137,4.829652,22.244123,10.53231,6.456727,25.211596,12.766911,8.075221
AXP,GRU,5.1082683,2.782926,2.1955914,14.250187,6.805645,4.4471097,14.534471,7.5887556,5.3470836,15.496339,9.123893,6.785165
AXP,CLAM,21.658495,9.782177,5.9390545,21.155098,9.807519,6.182634,22.523922,10.76784,6.823709,16.275679,9.16731,6.894816
BAC,CNN-LSTM,0.9025566,0.55341834,2.5464873,1.4786859,0.9741988,4.408811,2.1699564,1.3881371,6.184111,2.795859,1.8609192,8.463194
BAC,LSTM,1.2390716,0.774107,3.5169196,1.9855438,1.2448612,5.4728193,2.3955624,1.5514156,6.9261885,2.865562,1.956284,8.971237
BAC,GRU,0.66632086,0.4383287,2.1361654,1.3692654,0.93247855,4.3964024,1.7824064,1.2377839,5.980467,2.4401445,1.737204,8.379222
BAC,CLAM,1.4524323,0.87510055,4.0521784,2.033704,1.2578082,5.444398,2.3048573,1.4825178,6.4719005,3.139575,2.0045085,8.582358
BLK,CNN-LSTM,17.656929,10.575383,2.3000283,32.43315,19.336065,3.9471793,49.240986,28.500086,5.5486574,68.76836,39.528008,7.6192985
BLK,LSTM,26.593924,14.783582,3.014062,37.652447,22.27677,4.5293055,42.939228,26.873909,5.6636806,59.558895,36.760693,7.587359
BLK,GRU,16.159784,9.622144,2.1098998,25.946987,16.718992,3.684653,35.845303,23.2687,5.0729127,47.721466,31.275867,6.8749175
BLK,CLAM,70.18724,34.485844,6.406307,70.415504,36.487156,6.9684954,98.36323,47.29814,8.373868,116.31989,56.05261,9.81189
BMY,CNN-LSTM,1.7750897,1.0112778,2.2052238,2.6096113,1.6451286,3.6927152,2.8214393,1.9803315,4.6328926,3.537342,2.6172488,6.161282
BMY,LSTM,1.4197047,0.9768533,2.3162162,2.051983,1.470859,3.5426884,2.5680482,1.8842026,4.588187,3.3984985,2.5184503,6.0838323
BMY,GRU,0.96567607,0.6712257,1.5993042,1.8381156,1.3043922,3.1261287,2.4735682,1.7957207,4.349013,3.427454,2.5099256,6.024268
BMY,CLAM,1.1920205,0.8658232,2.2267485,1.9097924,1.3894923,3.4017107,2.4397554,1.7834804,4.322122,3.3022974,2.4197032,5.77332
C,CNN-LSTM,3.0004895,1.3361291,2.5725832,4.3421564,2.4041038,4.7666717,5.605581,3.22257,6.445302,10.213315,5.155697,9.581292
C,LSTM,3.5152845,1.674733,3.235681,4.9132905,2.6734822,5.2836514,5.9038897,3.3808339,6.8055353,8.602742,4.7575426,9.351083
C,GRU,1.656291,0.972715,2.0831754,3.5504022,2.1799307,4.5365105,4.234589,2.8066792,6.0766363,7.265069,4.347243,8.885903
C,CLAM,4.5709043,2.0503256,3.7982683,5.0958405,2.6670022,5.202581,7.495313,3.6488285,6.790193,8.315622,4.3712363,8.360684
DHR,CNN-LSTM,4.379743,2.5836437,2.2839928,8.491682,4.7912087,3.690996,11.523043,6.4655714,4.838188,16.588041,9.366549,6.719245
DHR,LSTM,6.96997,3.9477377,2.9751492,8.758267,4.978843,3.933557,10.982934,6.3174314,4.9217844,14.347659,8.39081,6.5107017
DHR,GRU,3.3530653,1.9237356,1.7089227,6.3799453,3.7038822,3.053266,8.47232,5.032652,4.113817,11.237131,6.86002,5.5691013
DHR,CLAM,10.183078,5.5708504,4.452477,13.221782,7.2039237,5.42843,15.739337,8.416984,6.2507086,19.489952,10.41711,7.610354
GOOGL,CNN-LSTM,12.935451,4.041033,3.3809297,16.899857,5.740355,4.9943676,20.005867,7.136514,6.312021,26.787941,9.665383,8.32909
GOOGL,LSTM,15.650641,5.4380407,4.764916,18.405838,6.663405,5.903284,20.273521,7.60621,6.899194,26.847618,10.104319,8.877934
GOOGL,GRU,9.273247,3.0282168,2.9956071,11.639907,4.373959,4.386314,14.868913,5.710696,5.7370944,19.046936,7.456328,7.3954964
GOOGL,CLAM,20.665041,7.6765113,7.0695324,21.486382,8.015731,7.5123124,24.397055,9.146855,8.374199,28.812761,10.965055,9.676755
GS,CNN-LSTM,41.24004,14.446193,3.6419709,53.64629,20.904333,5.686529,68.51868,27.689486,7.5551353,74.94851,32.050064,9.216093
GS,LSTM,44.99998,16.590117,4.3393936,40.92689,17.494976,5.349192,57.570618,24.337326,7.188377,62.032913,28.421135,8.900647
GS,GRU,23.449839,9.124423,2.6703265,26.9064,12.806842,4.3404956,30.98217,16.053942,5.7055435,42.810898,22.304064,7.818467
GS,CLAM,71.07418,26.209667,6.3064985,78.49602,30.392084,7.686936,91.166954,35.841766,9.142772,96.6217,39.584015,10.618236
INTC,CNN-LSTM,1.0594192,0.7263557,2.476488,2.0477574,1.3694084,4.497192,2.6910462,1.8031918,5.9118733,3.546824,2.4558578,8.047284
INTC,LSTM,1.3373905,0.8855941,2.927641,2.186203,1.4585863,4.7848673,2.8348682,1.9100169,6.2651253,3.7246997,2.5777316,8.43359
INTC,GRU,0.9562147,0.62520254,2.0695555,2.0245185,1.3334708,4.3271356,2.736885,1.8423953,6.033608,3.6348135,2.5333586,8.340346
INTC,CLAM,1.7457144,1.2203689,4.515362,2.342071,1.6503474,5.805455,2.8304756,1.9676347,6.8129444,3.6835797,2.5823803,8.873575
JNJ,CNN-LSTM,3.2379339,1.7996593,1.573849,4.8111877,2.7969213,2.406778,5.655025,3.5230958,3.050872,7.6663256,4.7597094,4.0890794
JNJ,LSTM,3.5516007,2.2339416,1.9971406,4.3235016,2.9246492,2.6456268,6.292394,3.9135432,3.4365165,7.3763227,4.9148335,4.3748946
JNJ,GRU,2.5432408,1.5031958,1.3397782,3.7264526,2.4601593,2.2230027,5.2493734,3.4260027,3.0607262,7.104526,4.673072,4.1631
JNJ,CLAM,4.315248,2.4284809,2.1920824,5.4259124,3.211366,2.8304055,6.2876725,3.8434966,3.3575394,8.304055,4.8595805,4.1603475
JPM,CNN-LSTM,12.655779,5.100894,3.5069342,17.211365,7.2946653,5.028255,19.437317,8.678199,6.204048,20.177906,9.962506,7.686226
JPM,LSTM,11.547674,4.9712524,3.8718123,12.3854065,5.7773495,4.752802,19.517614,8.735446,6.4516172,15.706774,8.432038,7.308164
JPM,GRU,8.795481,3.6216564,2.6758883,11.223373,5.3339424,4.2994184,13.568638,6.744974,5.5729613,15.29891,8.326255,7.222491
