symbol,model,rmse_h1,mae_h1,mape_h1,rmse_h7,mae_h7,mape_h7,rmse_h14,mae_h14,mape_h14,rmse_h21,mae_h21,mape_h21,rmse_h28,mae_h28,mape_h28
AAPL,CNN-LSTM,31.7212,28.3324,11.25,35.3513,32.2525,12.8,41.617,38.8113,15.39,49.0039,46.5722,18.37,52.8996,50.7355,19.87
AAPL,LSTM,11.8813,9.9499,3.98,22.3025,19.9532,7.96,26.4218,23.9955,9.55,35.6225,33.5393,13.28,43.744,41.7195,16.37
AAPL,GRU,21.3194,19.3648,7.76,27.4744,25.048,9.99,35.9032,33.583,13.37,37.8771,35.8886,14.21,44.0259,42.18,16.57
AAPL,CLAM,36.4511,32.546,12.93,46.774,42.4038,16.76,41.3791,37.5858,14.81,45.6439,42.3354,16.61,52.2091,49.2831,19.22
ABBV,CNN-LSTM,58.1737,56.7056,26.81,56.5079,55.1818,25.94,61.2013,59.8865,27.98,63.7643,62.6457,29.08,64.1163,63.23,29.14
ABBV,LSTM,40.0655,38.3566,18.02,43.0745,41.6211,19.5,58.7869,57.2437,26.69,50.5632,49.5403,22.98,48.7657,47.8914,22.06
ABBV,GRU,13.3354,12.0893,5.63,19.9463,18.4597,8.59,18.8089,17.1829,7.97,22.7356,21.2716,9.84,25.0111,23.6048,10.86
ABBV,CLAM,69.1016,67.3477,31.84,72.6744,70.9904,33.37,72.613,71.0531,33.2,75.9569,74.5995,34.62,73.1952,72.0876,33.21
AMD,CNN-LSTM,41.1594,32.4317,15.58,55.2144,45.3341,21.8,81.6992,70.0866,33.41,73.8724,64.9492,30.68,72.8893,64.7258,30.36
AMD,LSTM,43.554,34.4613,16.67,55.3064,45.2746,21.8,68.4965,57.1209,26.89,72.3998,60.9691,28.26,84.4607,73.3691,33.98
AMD,GRU,15.5449,11.7321,5.75,26.4222,20.2381,9.96,39.2799,31.416,15.19,47.8036,37.7472,17.86,56.2988,46.3007,21.7
AMD,CLAM,36.8524,27.8221,13.76,33.8927,25.52,12.65,64.4772,55.492,26.58,85.7851,76.2154,36.15,81.3611,73.3226,34.56
AMGN,CNN-LSTM,33.4523,31.2552,10.31,46.1555,43.3939,14.24,46.9854,43.5116,14.11,57.7048,54.1139,17.39,70.9024,66.7291,21.14
AMGN,LSTM,32.3441,30.1437,9.95,45.1509,42.3885,13.91,52.0507,48.8338,15.88,64.5386,61.2115,19.72,73.8143,69.7389,22.12
AMGN,GRU,10.4426,8.1812,2.67,26.7288,23.2935,7.6,34.11,29.9675,9.68,45.3919,41.4331,13.28,46.6058,41.5439,13.04
AMGN,CLAM,43.5768,40.4284,13.33,67.2625,64.8405,21.4,51.1661,47.4698,15.4,64.664,61.3264,19.76,66.9076,62.5976,19.8
AMZN,CNN-LSTM,29.1933,28.2837,12.44,37.5876,36.5885,16.01,46.4923,45.6642,19.92,54.1619,53.4704,23.24,57.4178,56.518,24.61
AMZN,LSTM,29.5788,28.6908,12.63,33.5557,32.4747,14.2,43.3063,42.448,18.51,55.1107,54.4662,23.68,49.0603,48.0507,20.9
AMZN,GRU,9.4841,8.2077,3.59,14.8356,12.5888,5.46,26.5282,24.8375,10.78,32.1516,30.7713,13.32,29.016,26.963,11.65
AMZN,CLAM,43.9894,43.2988,19.11,57.23,56.5769,24.83,58.9167,58.2959,25.47,63.4091,62.8648,27.35,66.039,65.2949,28.46
AVGO,CNN-LSTM,323.7926,320.6435,100.09,330.2254,327.4265,101.03,337.0993,334.7472,102.14,338.7244,336.8017,101.79,346.323,344.6799,103.26
AVGO,LSTM,137.0438,132.9325,40.87,155.8756,152.2659,46.46,165.6101,162.8836,49.34,156.6794,154.387,46.37,163.3493,161.4272,48.14
AVGO,GRU,102.0712,98.2786,30.11,113.5704,110.077,33.47,137.8652,134.8853,40.74,119.0932,116.889,35.08,139.1625,137.129,40.84
AVGO,CLAM,206.0726,203.3694,63.31,206.6754,204.484,63.0,216.5322,214.5078,65.33,214.4685,212.8635,64.27,214.7746,213.3791,63.87
AXP,CNN-LSTM,82.8842,80.7551,24.02,103.4465,100.9833,29.81,106.0611,103.7258,30.38,102.1153,100.0475,29.11,107.2009,105.2003,30.5
AXP,LSTM,49.7687,47.4871,14.04,65.326,62.6782,18.41,57.6484,54.8857,15.97,61.3449,58.8481,17.04,73.5725,71.2285,20.57
AXP,GRU,36.9416,34.8301,10.27,49.0504,46.302,13.56,47.0014,44.0018,12.79,66.365,63.8475,18.49,56.5197,53.8945,15.55
AXP,CLAM,104.3718,102.464,30.6,115.8218,113.6746,33.64,104.5429,102.9447,30.25,115.221,113.703,33.19,127.5022,125.9587,36.62
BAC,CNN-LSTM,3.0444,2.6769,5.21,5.5477,5.135,10.0,7.8799,7.4754,14.53,8.281,7.9617,15.42,10.4989,10.1191,19.48
BAC,LSTM,3.7853,3.4383,6.74,5.4848,5.1051,9.97,7.6001,7.2418,14.1,8.2094,7.8567,15.2,8.7321,8.4204,16.23
BAC,GRU,1.6239,1.4025,2.75,2.5646,2.2855,4.49,3.6128,3.1507,6.13,4.245,3.8665,7.51,4.7375,4.373,8.44
BAC,CLAM,6.026,5.6237,11.04,7.3608,6.9008,13.46,6.6961,6.3837,12.43,10.1102,9.6668,18.68,10.0155,9.6185,18.5
BLK,CNN-LSTM,34.0565,28.687,2.61,95.9287,89.8634,8.2,176.4382,171.1795,15.57,249.081,245.2506,22.23,284.7936,281.0376,25.45
BLK,LSTM,145.0555,140.7237,12.89,129.3834,124.8567,11.39,173.1562,168.6059,15.31,210.0556,206.2501,18.67,222.1347,218.1526,19.73
BLK,GRU,51.9681,48.1613,4.4,76.6573,70.1795,6.39,79.7182,71.4691,6.48,115.6455,107.1652,9.67,117.642,107.7073,9.7
BLK,CLAM,170.114,164.4825,15.08,259.6978,255.183,23.32,238.2493,234.256,21.3,305.7558,303.1525,27.49,295.0698,292.3634,26.48
BMY,CNN-LSTM,1.1439,0.9088,1.95,1.9937,1.6609,3.53,2.3743,1.9982,4.19,3.0732,2.4532,4.99,3.9388,3.0713,6.05
BMY,LSTM,1.3891,1.1156,2.41,2.0196,1.684,3.59,2.4115,1.9978,4.18,3.0088,2.3677,4.82,3.9313,3.0602,6.03
BMY,GRU,1.0823,0.8454,1.82,1.9961,1.6549,3.5,2.4267,2.0592,4.28,3.1117,2.5039,5.08,3.9982,3.1206,6.13
BMY,CLAM,1.4042,1.1472,2.46,1.9789,1.613,3.49,2.4691,2.1382,4.55,3.0997,2.6283,5.47,3.7914,3.3,6.7
C,CNN-LSTM,10.0067,9.0763,9.15,14.7694,13.9838,14.12,26.7216,26.1189,26.16,38.1591,37.5689,37.03,44.1695,43.6677,42.52
C,LSTM,13.8895,12.9984,13.19,17.4552,16.6048,16.72,25.446,24.708,24.65,32.6922,31.9481,31.39,38.4083,37.745,36.62
C,GRU,5.466,4.4253,4.36,11.524,10.4982,10.46,14.8817,13.8694,13.71,20.1646,19.2613,18.84,26.069,25.2196,24.34
C,CLAM,17.3166,16.3345,16.87,22.9464,22.1145,22.55,35.3881,34.6884,34.98,45.2362,44.723,44.26,47.6832,47.2374,46.13
DHR,CNN-LSTM,5.9968,4.7833,2.32,8.9087,7.2783,3.53,10.357,7.8437,3.83,12.476,9.161,4.47,13.6324,10.5179,5.1
DHR,LSTM,7.1703,5.8773,2.83,10.9787,8.896,4.26,12.7843,10.8195,5.08,15.754,11.9705,5.55,18.3394,12.8475,5.97
DHR,GRU,5.2614,4.1157,2.01,8.5477,6.9786,3.4,9.7424,7.241,3.54,11.4717,8.5945,4.18,11.4964,9.1402,4.4
DHR,CLAM,6.4144,4.838,2.32,9.2495,7.8925,3.73,10.2186,8.5787,4.03,13.7865,10.0673,4.72,17.3607,11.2301,5.27
GOOGL,CNN-LSTM,60.1735,49.8804,18.86,78.2337,67.4876,25.34,97.0736,86.03,31.82,109.0119,98.8027,35.95,122.9636,113.3513,40.69
GOOGL,LSTM,82.1171,72.4151,28.27,90.8394,80.8548,30.88,105.7831,95.6914,35.82,118.9376,109.3667,40.14,128.9034,120.1708,43.44
GOOGL,GRU,44.8259,36.9484,13.95,48.5978,40.9292,15.23,61.3747,53.5264,19.67,69.2386,61.9794,22.42,86.359,79.2578,28.39
GOOGL,CLAM,101.552,90.2562,35.38,112.5117,100.8642,38.68,121.2569,110.1788,41.36,133.2761,123.0599,45.3,142.9332,133.2372,48.18
GS,CNN-LSTM,216.9065,209.8652,27.3,258.0185,250.157,32.01,318.5266,310.7298,39.12,331.9355,325.029,40.33,356.5931,349.4238,42.81
GS,LSTM,180.4542,175.2346,22.84,222.6978,215.6917,27.6,228.4035,221.4539,27.83,240.8697,234.9522,29.14,295.9205,288.9475,35.36
GS,GRU,112.1475,105.5679,13.6,129.594,122.2578,15.53,156.9944,149.2781,18.67,147.9908,140.4055,17.3,167.1839,159.5756,19.43
