symbol,model,rmse_real_overall,mae_real_overall,mape_pct_overall,mae_h1,rmse_h1,mape_h1,mae_h7,rmse_h7,mape_h7,mae_h14,rmse_h14,mape_h14,mae_h21,rmse_h21,mape_h21,mae_h28,rmse_h28,mape_h28
AAPL,Autoformer,20.7141,18.1542,7.48,18.1542,20.7141,7.48,18.9073,21.7729,7.75,21.6545,24.985,8.72,23.2158,26.2197,9.31,25.9937,29.0879,10.36
AAPL,FEDformer,26.9332,25.0199,10.85,25.0199,26.9332,10.85,23.9721,27.0012,10.31,23.1707,27.7865,9.85,21.4057,26.933,8.95,20.0341,26.0767,8.26
AAPL,Informer,89.8089,82.251,32.9,82.251,89.8089,32.9,91.4128,99.9324,36.24,100.5948,109.5756,39.61,93.2865,101.7245,36.44,99.5207,106.0922,38.66
AAPL,iTransformer,8.2101,6.6331,2.75,6.6331,8.2101,2.75,9.7421,12.0233,3.93,12.3107,15.1396,4.96,15.8513,18.6829,6.32,17.0411,20.5518,6.74
ABBV,Autoformer,10.1814,8.7193,4.18,8.7193,10.1814,4.18,10.9193,12.9321,5.17,12.8219,15.651,6.06,12.1547,14.6143,5.7,12.9761,15.7006,6.01
ABBV,FEDformer,10.8511,9.0723,4.43,9.0723,10.8511,4.43,10.1114,12.181,4.88,11.4818,13.603,5.48,12.4095,14.3673,5.84,12.8482,14.8953,5.98
ABBV,Informer,66.1096,63.6568,29.95,63.6568,66.1096,29.95,66.6494,68.7859,31.22,66.4002,68.1956,30.95,63.9747,65.27,29.66,66.5108,67.5079,30.64
ABBV,iTransformer,6.3505,4.9644,2.36,4.9644,6.3505,2.36,7.5733,9.2905,3.54,9.5933,11.3296,4.52,10.4054,12.389,4.89,11.682,13.4985,5.42
AMD,Autoformer,26.934,22.4284,12.18,22.4284,26.934,12.18,28.2889,33.2822,15.13,32.9751,40.2483,17.0,33.9715,43.4276,17.28,39.8469,49.7017,19.77
AMD,FEDformer,20.8666,17.3653,8.95,17.3653,20.8666,8.95,18.3415,21.4857,9.53,20.5827,23.898,10.64,22.7403,26.462,11.59,25.0462,30.5659,12.52
